a_cappella	without musical accompaniment
rotationally	in a rotational manner
sonorously	in a sonorous manner
round-arm	with an outward or horizontal swing of the arm
rowdily	in a rowdy manner
ruinously	in a ruinous manner or to a ruinous degree
ruthlessly	in a ruthless manner
sarcastically	in a sarcastic manner
sanctimoniously	in a sanctimonious manner
scandalously	in a scandalous manner
scathingly	in a scathing and unsparing manner
sceptically	with scepticism
schematically	in a schematic manner
scorching	capable of causing burns
screamingly	to an extreme degree
scurrilously	in a scurrilously manner
searchingly	in a searching manner
seasonally	depending on the season
coastward	in the direction of the coast
seaward	in the direction of the sea
second-best	in second place
second_class	by second class conveyance
secretively	in a secretive manner
sedately	in a sedate manner
seductively	in a tempting seductive manner
selectively	in a selective manner
self-consciously	in an uncomfortably self-conscious manner
unselfconsciously	in a comfortable unselfconscious manner
self-evidently	in a self-evident manner
sensationally	in a sensational manner
senselessly	in a meaningless and purposeless manner
sensuously	with aesthetic gratification or delight
voluptuously	in an indulgently voluptuous manner
sensually	in a sultry and sensual manner
sentimentally	in a sentimental manner
unsentimentally	in an unsentimental manner
separably	with possibility of separation or individuation
inseparably	without possibility of separation
serenely	in a peacefully serene manner
sevenfold	seven times
seventhly	in the seventh place
independently	apart from others
shabbily	in a mean and ungenerous manner
shabbily	so as to appear worn and threadbare or dilapidated
shaggily	in a shaggy manner
shakily	in a manner characterized by trembling or shaking
shakily	in an insecurely shaky manner
shallowly	in a shallow manner
shambolically	in a shambolic manner
shamefacedly	in a shamefaced manner
shapelessly	in a shapeless manner
sheepishly	in a sheepish manner
sheer	directly
sheer	straight up or down without a break
shiftily	in a shifty manner
shockingly	in a shocking manner or to a shocking degree
shoddily	in a shoddy manner
short	at a disadvantage
short	so as to interrupt
short	at some point or distance before a goal is reached
short	clean across
short	without possessing something at the time it is contractually sold
shudderingly	with a shudder
sidesaddle	on or as if on a sidesaddle
broadside	with a side facing an object
sidelong	to, toward or at one side
sidelong	with the side toward someone or something
sidelong	on the side
sideward	toward one side
sideways	toward one side
sideway	from the side
sideways	with one side forward or to the front
signally	in a signal manner
signally	as a signal
silkily	in a silky manner
pusillanimously	with a lack of courage and determination
single-handed	without assistance
single-mindedly	in a single-minded manner
singularly	in a singular manner or to a singular degree
sixfold	by a factor of six
sixthly	in the sixth place
sketchily	in a sketchy incomplete manner
skillfully	with skill
skimpily	in a skimpy manner
skittishly	in a skittish manner
sky-high	to a very high level
sky-high	in a lavish or enthusiastic manner
sky-high	(with verb `to blow') destroyed completely
slanderously	in a false and slanderous and defamatory manner
slangily	with slang
slantingly	with a slant
slantwise	at a slant
slam-bang	in a violent or sudden or noisy manner
slam-bang	with heedless speed
slapdash	in a careless or reckless manner
slap-bang	directly or immediately
slavishly	in a slavish manner
sleekly	in a sleek glossy manner
sleepily	in a sleepy manner
sleeplessly	without sleep
slenderly	in a slim or slender manner
smoothly	in a smooth and diplomatic manner
sloppily	in a sloppy manner
slouchingly	with a slouching gait or posture
slouchily	in a slouchy manner
smash	with a loud crash
smilingly	with smiles
unsmilingly	without smiling
smugly	in a smug manner
smuttily	in a smutty manner
snappishly	in an ill-natured and snappish manner
sneakingly	in a sneaky manner
sneeringly	with a sneer
snobbishly	in a snobbish manner
sobbingly	with sobs
sociably	in a sociable manner
unsociably	in an unsociable manner
sociologically	with regard to sociology
solicitously	in a concerned and solicitous manner
solitarily	in solitude
somberly	in a somber manner
soothingly	in a soothing manner
soaking	extremely wet
sordidly	in a sordid or squalid way
sorely	to a great degree
sorrowfully	in a sorrowful manner
all_together	all at the same time
sottishly	in a sottish manner
southeast	to, toward, or in the southeast
southwest	to, toward, or in the southwest
south-southeast	to, toward, or in the south southeast
south-southwest	to, toward, or in the south southwest
soullessly	in a soulless manner
noiselessly	without a sound
sourly	in a sour manner
southerly	from the south
southerly	toward the south
southward	toward the south
sparely	in a spare manner
sparsely	in a sparse manner
spasmodically	in spurts and fits
spasmodically	with spasms
speciously	in a specious manner
spectrographically	by spectrographic means
speechlessly	without speaking
spirally	with spirals
sportingly	so as to be sporting
unsportingly	in an unsportsmanlike manner
unsuspectingly	without suspicions
spotlessly	in a spotless manner
trimly	in a trim manner
spuriously	in a false and spurious manner
squeamishly	in a squeamish manner
stagily	in a stagy and theatrical manner
standoffishly	in a standoffish manner
staringly	with a stare
stark	completely
starkly	in a blunt manner
starkly	in sharp outline or contrast
starkly	in a stark manner
statically	in a static manner
startlingly	in a startling manner
statutorily	according to statute
staunchly	in a staunch manner
steeply	in a steep manner
stereotypically	in a stereotypical manner
stertorously	in a noisy and stertorous manner
stickily	in a sticky viscid manner
stiff	extremely
stiltedly	in a stilted manner
stingily	in a stingy manner
stirringly	in a stirring manner
stochastically	by stochastic means
still	without moving or making a sound
straightway	in a direct course
straightway	at once
thereabout	near that place
thereabout	near that time or date
thereinafter	in the following part of a given matter, as in a document or speech
thereof	of or concerning this or that
thereon	on that
thereto	to that
thereunder	under that
therewith	with that or this or it
thereupon	immediately after that
therewithal	together with all that
stockily	in a stocky manner
stoically	without emotion
stonily	in a stony manner
strategically	with regard to strategy
stridently	in a strident manner
strictly	in a stringent manner
stuffily	in a stuffy manner
stupendously	to a stupendous degree
sturdily	in a sturdy manner
stylishly	in a stylish manner
stylistically	in a rhetorically stylistic manner
suavely	with suavity
sublimely	completely
subtly	in a subtle manner
romantically	in a romantic manner
unromantically	in an unromantic manner
sulkily	in a sulky manner
summarily	without delay
superfluously	in a superfluous manner
superlatively	to a superlative degree
superstitiously	in a superstitious manner
supinely	in an indifferently supine manner
supinely	with the face upward
surreptitiously	in a surreptitious manner
surpassingly	to a surpassing degree
surprisedly	in the manner of one who is surprised
sweepingly	in a sweeping manner
sweetly	in an affectionate or loving manner (`sweet' is sometimes a poetic or informal variant of `sweetly')
swimmingly	with great ease and success
synchronously	in synchrony
synthetically	by synthesis
tacitly	in a tacit manner
tactfully	showing tact or tactfulness
tactlessly	without tact
tactically	with regard to tactics
tamely	in a tame manner
tangibly	in a tangible manner
tartly	in a tart manner
tastefully	with taste
tastelessly	without taste or in poor taste
tastily	in a tasty manner
tauntingly	in a playfully teasing manner
tautly	in a taut manner
tearfully	with tears
telegraphically	in a short and concise manner
telescopically	in a telescopic manner
tellingly	in a telling manner
temperately	without extravagance
temperately	with restraint
tendentiously	in a tendentious manner
tenderly	with tenderness
tenthly	(in enumerating something, such as topics or points of discussion) in the tenth place
tetchily	in an ill-natured and tetchy manner
theologically	in a theological manner
theologically	as regards theology
thermostatically	by thermostat
threefold	by a factor of three
traditionally	according to tradition
thick	in quick succession
thinly	in a widely distributed manner
thickly	spoken with poor articulation as if with a thick tongue
thickly	with thickness
thinly	in a small quantity or extent
thinly	without viscosity
thinly	without force or sincere effort
thickly	with a thick consistency
thirstily	in a thirsty manner
thriftily	in a thrifty manner
thriftlessly	in a thriftless manner
through	over the whole distance
through	in diameter
through	from beginning to end
through	to completion
timorously	in a timorous and trepid manner
tip-top	to the highest extent
tiptoe	on tiptoe or as if on tiptoe
tomorrow	the next day, the day after, following the present day
tonelessly	in a monotone
topographically	with regard to topography
tortuously	in a tortuous manner
touchily	in a touchy manner
toughly	in a ruggedly tough manner
transcendentally	in a transcendental way or to a transcendental extent
transiently	for a very short time
transitionally	as a transitional step or in a transitional manner
transitorily	for a very brief time
transparently	so as to allow the passage of light
transparently	so as to be easily understood or seen through
tremulously	in a tremulous manner
trenchantly	in a vigorous and effective manner
tritely	in a trite manner
trivially	in a frivolously trivial manner
trivially	with little effort
tropically	in a tropical manner
truculently	in a defiantly truculent manner
truculently	in an aggressively truculent manner
tumultuously	in a tumultuous and riotous manner
turbulently	in a turbulent manner
tutorially	by tutorials
twofold	by a factor of two
typographically	in a typographic way
ultra_vires	beyond the scope or in excess of legal power or authority
unaccountably	in an unaccountable manner
unalterably	in an unalterable and unchangeable manner
unarguably	in an unarguable and undisputed manner
unassumingly	in an unassuming manner
unattainably	in an unattainable manner or to an unattainable degree
unawares	suddenly and unexpectedly
unawares	without forethought or plan
unbearably	to an unbearable degree
unbeknown	without someone's knowledge
unblushingly	without blushing
uncannily	in an uncanny manner
uncertainly	showing lack of certainty
unchivalrously	in an unchivalrous and ungallant manner
uncommonly	exceptionally
uncompromisingly	in an uncompromising manner
undesirably	in an undesirable manner
unwantedly	in an unwanted manner
unwontedly	in an unusual manner
unconcernedly	in an unconcerned manner
uncontrollably	in an uncontrolled manner
uncouthly	in an uncouth manner
unctuously	in an unctuous manner
undeniably	to an undeniable degree or in an undeniable manner
under	further down
under	down below
under	below the horizon
under	below some quantity or limit
under	in or into a state of subordination or subjugation
under	down to defeat, death, or ruin
under	into unconsciousness
under	through a range downward
underarm	with the hand swung below shoulder level
underground	beneath the surface of the earth
underground	in or into hiding or secret operation
underhandedly	slyly and secretly
underneath	under or below an object or a surface
underneath	on the lower or downward side
unduly	to an undue degree
uneventfully	in an uneventful manner
ungrammatically	in an ungrammatical manner
grammatically	in a grammatical manner
unimaginably	to an unimaginable extent
uninterruptedly	without interruption
unnaturally	in an unnatural way
naturally	in a natural or normal manner
precedentedly	with precedent
unprecedentedly	in an unprecedented manner
unreservedly	without reservation
unrestrainedly	in an unrestrained manner
unscrupulously	without scruples
unstintingly	in an unstinting manner
unswervingly	without swerving
unswervingly	in a constant and steadfast manner
untruly	in a untrue manner
unwarrantably	in an unwarrantable manner or to an unwarranted degree
unworthily	in an unworthy manner
up-country	to or in the interior of a country or region
uphill	upward on a hill or incline
uphill	against difficulties
uppermost	in or into the highest position
uppermost	in or into the most prominent position, as in the mind
uprightly	in an upright position
honorably	in an honorable manner
dishonorably	in a dishonorable manner
urbanely	in an urbane manner
usefully	in a useful manner
uselessly	in a useless manner
uxoriously	in a loving and uxorious manner
vacantly	in a vacant manner
vacuously	in a vacuous manner
valiantly	with valor
validly	in a valid manner
vapidly	in a vapid manner
variably	with variation
vehemently	in a vehement manner
verbosely	in a verbose manner
verily	in truth
verily	truly or confidentially
vicariously	indirectly, as, by, or through a substitute
vigilantly	in a watchful manner
vilely	in a vile manner
virulently	in a virulent manner
vivace	lively, in music
vivaciously	with vivacity
voluptuously	in a shapely and voluptuous manner
voraciously	in an eagerly voracious manner
voyeuristically	like a voyeur
vulnerably	in a vulnerable manner
waggishly	in a waggish manner
waist-deep	up to the waist
wanly	in a weak or pale or languid manner
wantonly	in a wanton manner
wealthily	with riches
weightily	as something very heavy
weightily	in a serious manner
whacking	extremely
wheezily	with a wheeze
whiningly	in a whining manner
wholeheartedly	without reserve
wholesomely	in a wholesome manner
whopping	extremely
wide	to or over a great extent or range
widely	to a great degree
wide	with or by a broad space
wide	far from the intended target
wide	to the fullest extent possible
willfully	in a willful manner
wishfully	in a wishful manner
wistfully	in a wistful manner
witheringly	in a withering manner
wittily	in a witty manner
wolfishly	in the manner of a wolf
worryingly	in a manner to cause worry
worriedly	in a worried manner
worthily	in a worthy manner
worthlessly	in a worthless manner
wrathfully	in a wrathful manner
wretchedly	in a wretched manner
yea	not only so, but
youthfully	in a youthful manner
zealously	in a zealous manner
zestfully	with zest
zigzag	in a zigzag course or on a zigzag path
a_la_mode	with ice cream on top or on the side
between_decks	in the space between decks, on a ship
between	in the interval
aloft	in the higher atmosphere above the earth
aloft	at or to great height
irreproachably	in an irreproachable and blameless manner
bonnily	in a bonny manner
aloft	upward
aloft	at or on or to the masthead or upper rigging of a ship
circumstantially	so far as the circumstances are concerned
circumstantially	according to circumstances
clammily	in a clammy manner
conjugally	in a conjugal manner
constrainedly	in a constrained manner
convexly	in a convex way
concavely	in a concave way
coordinately	in a coordinated manner
corruptly	in a corrupt manner
defectively	in a defective manner
dingily	in a dingy manner
discursively	in a rambling manner
profligately	in a dissolute way
floridly	in a florid manner
half-price	for half the price
imminently	in an imminent manner
integrally	in an integral manner
martially	in a martial manner
ruggedly	in a rugged manner
shrewishly	in a shrewish manner
in_principle	with regard to fundamentals although not concerning details
per_capita	per person
distinctively	in an identifiably distinctive manner
philosophically	with respect to philosophy
vanishingly	so as to disappear or approach zero
inaugurally	so as to inaugurate
in	to or toward the inside of
unquestioningly	in an unquestioning manner
theretofore	up to that time
acutely	in an acute manner
demandingly	in a demanding manner
heavily	in a manner designed for heavy duty
specially	in a special manner
gently	in a gentle manner
haggardly	in a haggard manner
sharply	changing suddenly in direction and degree
madly	in a desperate manner
smolderingly	with barely repressed anger
dandily	in a dandy manner
in_common	sharing equally with another or others
softly	in a manner that is pleasing to the senses
immediately	near or close by
immediately	bearing an immediate relation
directly	without anyone or anything intervening
second_hand	from a source of previously owned goods
in_full	referring to a quantity
expansively	in an impressively expansive manner
homogeneously	all similarly
in_flight	flying through the air
only	never except when
in_check	unable to act freely
close	in an attentive manner
naturally	through inherent nature
by_rights	with reason or justice
caudally	toward the posterior end of the body
causally	in a causal fashion
fearfully	in an alarming manner
one_by_one	in single file
calculatingly	in a calculating manner
magnetically	by the use of magnetism
redly	displaying a red color
prodigally	in a prodigal manner
widely	so as to leave much space or distance between
insignificantly	in an insignificant manner
fatally	with fatal consequences or implications
super	to an extreme degree
overboard	to extremes
desperately	in intense despair
first	before another in time, space, or importance
outstandingly	in an outstanding manner or to an outstanding degree
tunelessly	in a tuneless fashion
measuredly	in a deliberate unhurried manner
heavily	in a heavy-footed manner
mellowingly	so as to mellow
yesterday	on the day preceding today
yesterday	in the recent past
together	in each other's company
after	behind or in the rear
later	comparative of the adverb `late'
on_earth	used with question words to convey surprise
unblinkingly	showing no emotion
luxuriously	in an indulgently luxurious manner
heavily	with great force
loweringly	in a menacing or scowling way
aggravatingly	in an aggravating fashion
lightly	without good reason
quaveringly	in an unsteady quavering manner
from_pillar_to_post	from one place or situation to another
straight	in a straight line
painfully	in or as if in pain
painlessly	without pain
better	from a position of superiority or authority
significantly	in a statistically significant way
out_of_sight	no longer visible
baby-wise	like a baby
soughingly	with a soft sound
coincidentally	happening at the same time
very	precisely so
contextually	in a manner dependent on context
departmentally	dependent on a department
polygonally	in a polygonal manner
regimentally	in a regimental manner or by regiments
residentially	used as a residence
schismatically	in a manner that is schismatic
viscerally	in an unreasoning visceral manner
loosely	in a loose manner
positively	so as to be positive
literatim	letter for letter
nebulously	in a nebulous and indefinite manner
northeastward	in a northeastward direction
northwestward	in a northwestward direction
southeastward	in a southeastward direction
southwestward	in a southwestward direction
abaxially	in an abaxial manner
adaxially	in an adaxial manner
adjectivally	as an adjective
affirmatively	in an affirmative manner
canonically	in a canonical manner
cognitively	with regard to cognition
complexly	in a complex manner
cursively	in a cursive manner
dolce	gently and sweetly
draggingly	in a dragging manner
eccentrically	not symmetrically with respect to the center
eccentrically	in an eccentric or bizarre manner
endogenously	in an endogenous manner
erotically	in an erotic manner
hypnotically	by means of hypnotism
immunologically	from the point of view of immunology
in_vitro	in an artificial environment outside the living organism
irreparably	in an irreparable manner or to an irreparable degree
irritatingly	in an irritating manner
judicially	as ordered by a court
logogrammatically	by means of logograms
on_camera	within range of a movie or television camera
prepositionally	as a preposition
presidentially	in a presidential manner
radioactively	in a radioactive manner
recurrently	in a recurrent manner
sidearm	in a sidearm manner
sinuously	in a sinuous manner
sinusoidally	in a sinusoidal manner
spaceward	towards outer space
stably	in a stable unchanging manner
stably	in a stable solid fixed manner
suggestively	in a suggestive manner
synergistically	(of drugs or muscles) in a synergistic or interactive manner
synergistically	(of group) in a synergistic or cooperative manner
synonymously	in a synonymous manner
taxonomically	with regard to taxonomy
topologically	from the point of view of topology
ulteriorly	in an ulterior manner
vexatiously	in a vexatious manner
wafer-thin	very thin
wrongfully	in an unjust or unfair manner
